# GLIDER Experiment Data,,,,
# Experiment Name,Untitled Experiment,,,
# Start Time,2025-12-30T12:03:35.926117,,,
# Sample Interval (s),0.1,,,
,,,,
# Boards,,,,
#,Arduino,telemetrix,Connected,
,,,,
# Devices,,,,
#,led_1,DigitalOutput,board=Arduino,output=13
#,input,AnalogInput,board=Arduino,input=0
,,,,
timestamp,elapsed_ms,led_1:DigitalOutput,input:AnalogInput,
2025-12-30T12:04:19.085,43159.5,0,0,
2025-12-30T12:04:19.198,43272,0,0,
2025-12-30T12:04:19.306,43380.8,0,0,
2025-12-30T12:04:19.418,43492.9,0,0,
2025-12-30T12:04:19.533,43607.3,0,0,
2025-12-30T12:04:19.636,43710,0,0,
2025-12-30T12:04:19.746,43819.9,0,0,
2025-12-30T12:04:19.861,43935.3,0,0,
2025-12-30T12:04:19.973,44047.3,0,0,
2025-12-30T12:04:20.073,44147.1,0,0,
2025-12-30T12:04:20.181,44255.4,0,0,
2025-12-30T12:04:20.292,44366.3,0,0,
2025-12-30T12:04:20.402,44476,0,0,
2025-12-30T12:04:20.510,44584.7,0,0,
2025-12-30T12:04:20.618,44692.7,0,0,
2025-12-30T12:04:20.727,44800.9,0,0,
2025-12-30T12:04:20.836,44910.9,0,0,
2025-12-30T12:04:20.945,45019.1,0,0,
2025-12-30T12:04:21.054,45128.7,0,0,
2025-12-30T12:04:21.169,45243.1,0,0,
2025-12-30T12:04:21.277,45351,0,0,
2025-12-30T12:04:21.388,45462.8,0,0,
2025-12-30T12:04:21.494,45568.4,0,0,
2025-12-30T12:04:21.607,45681.1,0,0,
2025-12-30T12:04:21.717,45791.9,0,0,
2025-12-30T12:04:21.829,45903.6,0,0,
2025-12-30T12:04:21.940,46014.7,0,0,
2025-12-30T12:04:22.042,46116.8,0,0,
2025-12-30T12:04:22.158,46232.3,0,0,
2025-12-30T12:04:22.262,46336,0,0,
2025-12-30T12:04:22.375,46448.9,0,0,
2025-12-30T12:04:22.476,46549.9,0,0,
2025-12-30T12:04:22.596,46670.9,0,0,
2025-12-30T12:04:22.701,46774.9,0,0,
2025-12-30T12:04:22.806,46880.3,0,0,
2025-12-30T12:04:22.916,46990.5,0,0,
2025-12-30T12:04:23.022,47096.5,0,0,
2025-12-30T12:04:23.133,47207.1,0,0,
2025-12-30T12:04:23.241,47315.7,0,0,
2025-12-30T12:04:23.351,47425.5,0,0,
2025-12-30T12:04:23.461,47535.2,0,0,
2025-12-30T12:04:23.570,47644.2,0,0,
2025-12-30T12:04:23.685,47759.6,0,0,
2025-12-30T12:04:23.794,47868.5,0,0,
2025-12-30T12:04:23.899,47972.9,0,0,
2025-12-30T12:04:24.010,48084,0,0,
2025-12-30T12:04:24.122,48196.4,0,0,
2025-12-30T12:04:24.237,48311.2,0,0,
2025-12-30T12:04:24.335,48409.4,0,0,
2025-12-30T12:04:24.448,48521.9,0,0,
2025-12-30T12:04:24.557,48631,0,0,
2025-12-30T12:04:24.667,48741,0,0,
2025-12-30T12:04:24.775,48849.7,0,0,
2025-12-30T12:04:24.885,48958.9,0,0,
2025-12-30T12:04:24.993,49067.5,0,0,
2025-12-30T12:04:25.101,49174.9,0,0,
2025-12-30T12:04:25.212,49286.1,0,0,
2025-12-30T12:04:25.323,49397.8,0,0,
2025-12-30T12:04:25.437,49511.2,0,0,
2025-12-30T12:04:25.552,49625.9,0,0,
2025-12-30T12:04:25.648,49722.7,0,0,
,,,,
# End Time,2025-12-30T12:04:25.691636,,,
# Duration (s),49.77,,,
